stockid,tsn,scientificname,commonname,areaid
ROCKCRABLFA23-26,98679,Cancer irroratus,Rock crab,Canada-DFO-4T
ROCKCRABQCW,98679,Cancer irroratus,Rock crab,Canada-DFO-QCW
RPANDCWACIV-BEN,647898,Pagellus bellottii,Red pandora,multinational-FAO-CWACIV-BEN
RPORGYSATLC,169207,Pagrus pagrus,Red porgy,USA-NMFS-SATLC
RROCKLOBSTERCRA1,660225,Jasus edwardsii,Red rock lobster,New Zealand-MFish-CRA1
RROCKLOBSTERCRA2,660225,Jasus edwardsii,Red rock lobster,New Zealand-MFish-CRA2
RROCKLOBSTERCRA3,660225,Jasus edwardsii,Red rock lobster,New Zealand-MFish-CRA3
RROCKLOBSTERCRA4,660225,Jasus edwardsii,Red rock lobster,New Zealand-MFish-CRA4
RROCKLOBSTERCRA5,660225,Jasus edwardsii,Red rock lobster,New Zealand-MFish-CRA5
RROCKLOBSTERCRA7,660225,Jasus edwardsii,Red rock lobster,New Zealand-MFish-CRA7
RROCKLOBSTERCRA8,660225,Jasus edwardsii,Red rock lobster,New Zealand-MFish-CRA8
RROCKLOBSTERSAUSNZ,660225,Jasus edwardsii,Rock lobster,Australia-SARDI-SAUSNZ
RROCKLOBSTERSAUSSZ,660225,Jasus edwardsii,Rock lobster,Australia-SARDI-SAUSSZ
RSARDCWACIV-BEN,161763,Sardinella aurita,Round sardinella,multinational-FAO-CWACIV-BEN
RSARDNWA,161763,Sardinella aurita,Round sardinella,multinational-FAO-NWA
RSFLOUNSOJ,172869,Eopsetta grigorjewi,Round nose flounder,Japan-FAJ-SOJ
RSHRMPMEDGSA1,95733,Parapenaeus longirostris,Deep water rose shrimp,multinational-GFCM-GSA1
RSHRMPMEDGSA10,95733,Parapenaeus longirostris,Deep water rose shrimp,multinational-GFCM-GSA10
RSHRMPMEDGSA11,95733,Parapenaeus longirostris,Deep water rose shrimp,multinational-GFCM-GSA11
RSHRMPMEDGSA12-16,95733,Parapenaeus longirostris,Deep water rose shrimp,multinational-GFCM-GSA12-16
RSHRMPMEDGSA17-19,95733,Parapenaeus longirostris,Deep water rose shrimp,multinational-GFCM-GSA17-19
RSHRMPMEDGSA18,95733,Parapenaeus longirostris,Deep water rose shrimp,multinational-GFCM-GSA18
RSHRMPMEDGSA5,95733,Parapenaeus longirostris,Deep water rose shrimp,multinational-GFCM-GSA5
RSHRMPMEDGSA9,95733,Parapenaeus longirostris,Deep water rose shrimp,multinational-GFCM-GSA9
RSHRMPMEDGSA9-11,95733,Parapenaeus longirostris,Deep water rose shrimp,multinational-GFCM-GSA9-11
RSKATMATLC,564136,Leucoraja garmani,Rosette skate,USA-NMFS-MATLC
RSNAPGM,168853,Lutjanus campechanus,Red snapper,USA-NMFS-GM
RSNAPSATLC,168853,Lutjanus campechanus,Red snapper,USA-NMFS-SATLC
RSOLE5AB,172917,Lepidopsetta bilineata,Rock sole,Canada-DFO-5AB
RSOLEGA,172917,Lepidopsetta bilineata,Rock sole,USA-NMFS-GA
RSOLEHSTR,172917,Lepidopsetta bilineata,Rock sole,Canada-DFO-HS
RSQLOBSTERCH,-993,Pleuroncodes monodon,Red squat lobster,Chile-SUBPESCA-CH
RSQLOBSTERCSCH,-993,Pleuroncodes monodon,Red squat lobster,Chile-SUBPESCA-CH-CS
RSQLOBSTERNCH,-993,Pleuroncodes monodon,Red squat lobster,Chile-SUBPESCA-CH-N
RSROCKBCWN,166736,Sebastes proriger,Redstripe rockfish,Canada-DFO-BCWN
RSROCKBCWS,166736,Sebastes proriger,Redstripe rockfish,Canada-DFO-BCWS
RSSOLENPAC,172864,Clidoderma asperrimum,Roughscale sole,Japan-FAJ-NPAC
SAABALONESA,-995,Haliotis midae,South African abalone,South Africa-DETMCM-SA
SABLEFEBSAIGA,167123,Anoplopoma fimbria,Sablefish,USA-NMFS-EBSAIGA
SABLEFPCAN,167123,Anoplopoma fimbria,Sablefish,Canada-DFO-PCOAST
SABLEFPCOAST,167123,Anoplopoma fimbria,Sablefish,USA-NMFS-PCOAST
SAILEATL,550888,Istiophorus albicans,Sailfish,multinational-ICCAT-EATL
SAILWATL,550888,Istiophorus albicans,Sailfish,multinational-ICCAT-WATL
SARDBC,161729,Sardinops sagax,Pacific sardine,Canada-DFO-PCOAST
SARDINCWAGAB-AGO,-990,Sardinella spp,Sardinella,multinational-FAO-CWAGAB-AGO
SARDINCWAGNB-LBR,-990,Sardinella spp,Sardinella,multinational-FAO-CWAGNB-LBR
SARDINNWA,-990,Sardinella spp,Sardinella,multinational-FAO-NWA
SARDMEDGSA1,161813,Sardina pilchardus,European pilchard,multinational-GFCM-GSA1
